,Source,General_Pos,Finer_Pos
540,steering,3830.0,3063.0
541,steering,3830.0,3063.0
542,steering,3830.0,3063.0
543,steering,3830.0,3063.0
544,steering,3830.0,3063.0
545,steering,3830.0,3063.0
546,steering,3830.0,3063.0
547,steering,3830.0,3063.0
548,steering,3830.0,3063.0
549,steering,3830.0,3063.0
550,steering,3830.0,3063.0
551,steering,3830.0,3063.0
552,steering,3830.0,3063.0
553,steering,3830.0,3063.0
554,steering,3830.0,3063.0
555,steering,3830.0,3063.0
556,steering,3830.0,3063.0
557,steering,3830.0,3063.0
558,steering,3830.0,3063.0
559,steering,3830.0,3063.0
560,steering,3830.0,3063.0
561,steering,3830.0,3063.0
562,steering,3830.0,3063.0
563,steering,3830.0,3063.0
564,steering,3830.0,3063.0
565,steering,3830.0,3063.0
566,steering,3830.0,3063.0
567,steering,3830.0,3063.0
568,steering,3830.0,3063.0
569,steering,3830.0,3063.0
570,steering,3830.0,3063.0
571,steering,3830.0,3063.0
572,steering,3830.0,3063.0
573,steering,3830.0,3063.0
574,steering,3830.0,3063.0
575,steering,3830.0,3063.0
576,steering,3830.0,3063.0
577,steering,3830.0,3063.0
578,steering,3830.0,3063.0
579,steering,3830.0,3063.0
580,steering,3830.0,3063.0
581,steering,3830.0,3063.0
582,steering,3830.0,3063.0
583,steering,3830.0,3063.0
584,steering,3830.0,3063.0
585,steering,3830.0,3063.0
586,steering,3830.0,3063.0
587,steering,3830.0,3063.0
588,steering,3830.0,3063.0
589,steering,3830.0,3063.0
590,steering,3830.0,3063.0
591,steering,3830.0,3063.0
592,steering,3830.0,3063.0
593,steering,3830.0,3063.0
594,steering,3830.0,3063.0
595,steering,3830.0,3063.0
596,steering,3830.0,3063.0
597,steering,3830.0,3063.0
598,steering,3830.0,3063.0
599,steering,3830.0,3063.0
600,steering,3830.0,3063.0
601,steering,3830.0,3063.0
602,steering,3830.0,3063.0
603,steering,3830.0,3063.0
604,steering,3830.0,3063.0
605,steering,3830.0,3063.0
606,steering,3830.0,3063.0
607,steering,3830.0,3063.0
608,steering,3830.0,3063.0
609,steering,3830.0,3063.0
610,steering,3830.0,3063.0
611,steering,3830.0,3063.0
612,steering,3830.0,3063.0
613,steering,3830.0,3063.0
614,steering,3830.0,3063.0
615,steering,3830.0,3063.0
616,steering,3830.0,3063.0
617,steering,3830.0,3063.0
618,steering,3830.0,3063.0
619,steering,3830.0,3063.0
620,steering,3830.0,3063.0
621,steering,3830.0,3063.0
622,steering,3830.0,3063.0
623,steering,3830.0,3063.0
624,steering,3830.0,3063.0
625,steering,3830.0,3063.0
626,steering,3830.0,3063.0
627,steering,3830.0,3063.0
628,steering,3830.0,3063.0
629,steering,3830.0,3063.0
630,steering,3830.0,3063.0
631,steering,3830.0,3063.0
632,steering,3830.0,3063.0
633,steering,3830.0,3063.0
634,steering,3830.0,3063.0
635,steering,3830.0,3063.0
636,steering,3830.0,3063.0
637,steering,3830.0,3063.0
638,steering,3830.0,3063.0
639,steering,3830.0,3063.0
640,steering,3830.0,3063.0
641,steering,3830.0,3063.0
642,steering,3830.0,3063.0
643,steering,3830.0,3063.0
644,steering,3830.0,3063.0
645,steering,3830.0,3063.0
646,steering,3830.0,3063.0
647,steering,3830.0,3063.0
648,steering,3830.0,3063.0
649,steering,3830.0,3063.0
650,steering,3830.0,3063.0
651,steering,3830.0,3063.0
652,steering,3830.0,3063.0
653,steering,3830.0,3063.0
